"min_temp","winter_season","model_type","pred","lwr","upr"
-19.5,"2023-24","parallel",53.1314484107752,41.6441242901667,67.7874936343287
-19,"2023-24","parallel",55.2417832174404,43.8927003132004,69.5253331708305
-18.5,"2023-24","parallel",57.433128035451,46.2094241443963,71.3829323133108
-18,"2023-24","parallel",59.7068037815065,48.5870169983378,73.3715020604223
-17.5,"2023-24","parallel",62.0639242598873,51.0201512121188,75.4982218402772
-17,"2023-24","parallel",64.5054938896952,53.5060140665207,77.766187867787
-16.5,"2023-24","parallel",67.0324045093911,56.0444369232143,80.1746524898967
-16,"2023-24","parallel",69.6454180549055,58.6374341380344,82.719926738683
-15.5,"2023-24","parallel",72.3452904720528,61.2875073966293,85.3981712719083
-15,"2023-24","parallel",75.1328699725964,63.995740751373,88.2081851704791
-14.5,"2023-24","parallel",78.0091350993684,66.7608192567047,91.1526435221265
-14,"2023-24","parallel",80.9750818383215,69.5803541036927,94.2358509551604
-13.5,"2023-24","parallel",84.0315239607713,72.4531488405253,97.4601812643383
-13,"2023-24","parallel",87.1787467650904,75.3794375079223,100.825027869609
-12.5,"2023-24","parallel",90.4162407977159,78.3608678136481,104.326264219431
-12,"2023-24","parallel",93.7426544362979,81.4003325790399,107.956380303856
-11.5,"2023-24","parallel",97.155031198774,84.4987722010834,111.706949596526
-11,"2023-24","parallel",100.648279238629,87.6528961740122,115.570352559559
-10.5,"2023-24","parallel",104.215089278242,90.8556764841256,119.538869265582
-10,"2023-24","parallel",107.845741512165,94.0976899038556,123.602438850438
-9.5,"2023-24","parallel",111.528212675186,97.3691394636114,127.746247846527
-9,"2023-24","parallel",115.248585758964,100.661267664793,131.949823676688
-8.5,"2023-24","parallel",118.991622438461,103.965626404468,136.189303139993
-8,"2023-24","parallel",122.74150191836,107.27238260396,140.441331939044
-7.5,"2023-24","parallel",126.48266757928,110.569422909397,144.686159853433
-7,"2023-24","parallel",130.200671466541,113.843199868362,148.908453644487
-6.5,"2023-24","parallel",133.882912030108,117.081107909587,153.095870492645
-6,"2023-24","parallel",137.519166445395,120.274005577781,157.236977757478
-5.5,"2023-24","parallel",141.101841040151,123.417274386885,161.320444352931
-5,"2023-24","parallel",144.625899715209,126.5097281656,165.336303948532
-4.5,"2023-24","parallel",148.088475701743,129.551108638792,169.278340155393
-4,"2023-24","parallel",151.488219481768,132.539785281302,173.145599964948
-3.5,"2023-24","parallel",154.824477521381,135.471999787867,176.941499921044
-3,"2023-24","parallel",158.096425731672,138.34278887712,180.670637277168
-2.5,"2023-24","parallel",161.302293303104,141.147461978946,184.335087999821
-2,"2023-24","parallel",164.438804338964,143.882127509929,187.932447485962
-1.5,"2023-24","parallel",167.500936878173,146.542570692707,191.456746817272
-1,"2023-24","parallel",170.482054438299,149.122202260712,194.901432817429
-0.5,"2023-24","parallel",173.374409533807,151.610730988434,198.262258121356
0,"2023-24","parallel",176.169959190727,153.99491222695,201.538181180449
0.5,"2023-24","parallel",178.861378165037,156.261348094985,204.730043539943
1,"2023-24","parallel",181.443115601494,158.399825033975,207.838639923471
1.5,"2023-24","parallel",183.912323251934,160.405186389309,210.864395380785
2,"2023-24","parallel",186.269493094488,162.276695698969,213.809653371552
2.5,"2023-24","parallel",188.518679675396,164.015587518691,216.682408813763
3,"2023-24","parallel",190.66724290157,165.622703627243,219.498877385229
3.5,"2023-24","parallel",192.725120858307,167.097844229228,222.282773193027
4,"2023-24","parallel",194.703717208321,168.440924167882,225.061324508966
4.5,"2023-24","parallel",196.614551281745,169.653395306056,227.860348482764
5,"2023-24","parallel",198.467860750269,170.738002084927,230.701374443842
5.5,"2023-24","parallel",200.27148910277,171.69645969021,233.602192030101
6,"2023-24","parallel",202.030391462819,172.526552345688,236.57969465962
6.5,"2023-24","parallel",203.746180761652,173.219559827731,239.652532405951
7,"2023-24","parallel",205.417380301103,173.761073086724,242.840927373348
7.5,"2023-24","parallel",207.040140669764,174.134795615349,246.163437336457
8,"2023-24","parallel",208.60940697583,174.327500390101,249.632929867208
8.5,"2023-24","parallel",210.12019737903,174.331910498136,253.25539782388
9,"2023-24","parallel",211.568906956093,174.145462461238,257.03456040699
9.5,"2023-24","parallel",212.953913372587,173.767871191976,260.976720895647
10,"2023-24","parallel",214.275119423046,173.199546210609,265.092073324083
-25,"2024-25","parallel",25.998707297508,16.8935337138794,40.011331707715
-24.5,"2024-25","parallel",27.0321953151678,17.8994314388269,40.8247371462473
-24,"2024-25","parallel",28.1067660478421,18.9617309586991,41.6623513638507
-23.5,"2024-25","parallel",29.2240525957158,20.0828243626782,42.5261524322404
-23,"2024-25","parallel",30.3857529771817,21.2650006270785,43.4184790389614
-22.5,"2024-25","parallel",31.5936327094367,22.5103728143145,44.3421188983619
-22,"2024-25","parallel",32.8495274916622,23.8207817206884,45.3004216687095
-21.5,"2024-25","parallel",34.1553459948643,25.197669261241,46.2974431457965
-21,"2024-25","parallel",35.5130727626141,26.6419135959656,47.3381287909329
-20.5,"2024-25","parallel",36.9247712270974,28.153617191723,48.428545464997
-20,"2024-25","parallel",38.392576013921,29.7318059680304,49.5761977785553
-19.5,"2024-25","parallel",39.9184611041669,31.3735063795919,50.7907378169699
-19,"2024-25","parallel",41.5039875751439,33.0734774153779,52.0834553622342
-18.5,"2024-25","parallel",43.1503780933786,34.8255715831107,53.465170705325
-18,"2024-25","parallel",44.8586250835734,36.6241707213116,54.944486243825
-17.5,"2024-25","parallel",46.6295653637372,38.4650849460038,56.5270132397545
-17,"2024-25","parallel",48.4639535691382,40.3460026449584,58.215303662681
-16.5,"2024-25","parallel",50.3624597515065,42.2666080303824,60.009011141819
-16,"2024-25","parallel",52.3256563648351,44.2282480455998,61.9055566295081
-15.5,"2024-25","parallel",54.3541113626524,46.2326547189345,63.9022232226189
-15,"2024-25","parallel",56.4484620192901,48.2804894960894,65.9982717159762
-14.5,"2024-25","parallel",58.6094435287841,50.3705841157073,68.1958911348532
-14,"2024-25","parallel",60.8378041904505,52.500956771402,70.4984946242297
-13.5,"2024-25","parallel",63.1341554029917,54.6705629186194,72.9080032408373
-13,"2024-25","parallel",65.4987115153915,56.8794590945829,75.4240859260398
-12.5,"2024-25","parallel",67.9310897674801,59.1287734622655,78.0437794797551
-12,"2024-25","parallel",70.4302746649348,61.420577997528,80.7615908397639
-11.5,"2024-25","parallel",72.9940449580489,63.7553435738187,83.5715141769807
-11,"2024-25","parallel",75.6185750654923,66.1301333673674,86.4684313151133
-10.5,"2024-25","parallel",78.2983734163945,68.5390024572296,89.4473957872213
-10,"2024-25","parallel",81.0261373738558,70.9740717554121,92.5018781556143
-9.5,"2024-25","parallel",83.7928336768019,73.4271515226017,95.6218351113209
-9,"2024-25","parallel",86.5880062662933,75.8908890467063,98.7929239379104
-8.5,"2024-25","parallel",89.4002063581638,78.3582600773093,101.998141472218
-8,"2024-25","parallel",92.2175475495117,80.821313769313,105.220710718951
-7.5,"2024-25","parallel",95.0283419168153,83.2705388714871,108.446347169626
-7,"2024-25","parallel",97.8217344931155,85.6955694536089,111.663786123993
-6.5,"2024-25","parallel",100.588257543203,88.0870333576764,114.863643034653
-6,"2024-25","parallel",103.320230504288,90.4384505880139,118.036852268608
-5.5,"2024-25","parallel",106.01194813551,92.7469539345917,121.174148268112
-5,"2024-25","parallel",108.659626739366,95.0123539817153,124.267150410889
-4.5,"2024-25","parallel",111.261112469061,97.2351631760263,127.310272781084
-4,"2024-25","parallel",113.815391411315,99.4148272306655,130.301924601796
-3.5,"2024-25","parallel",116.321972556216,101.549151886717,133.243863173405
-3,"2024-25","parallel",118.780236753298,103.634982471071,136.138824041466
-2.5,"2024-25","parallel",121.188853566564,105.669273897129,138.987784122334
-2,"2024-25","parallel",123.545361765245,107.649449250265,141.788523025515
-1.5,"2024-25","parallel",125.845988273997,109.572575014405,144.536283486783
-1,"2024-25","parallel",128.085747003154,111.433913465999,147.225903453188
-0.5,"2024-25","parallel",130.258817149611,113.226052411282,149.853846211857
0,"2024-25","parallel",132.359155905328,114.939548573686,152.418783346272
0.5,"2024-25","parallel",134.381259703636,116.565010308798,154.920613927773
1,"2024-25","parallel",136.320958103002,118.09550050299,157.359116469047
1.5,"2024-25","parallel",138.176111171485,119.527842135913,159.733810610959
2,"2024-25","parallel",139.947088539699,120.862127300844,162.045696432164
2.5,"2024-25","parallel",141.636936449582,122.09995931017,164.299987323189
3,"2024-25","parallel",143.251184510556,123.242768517297,166.507959132687
3.5,"2024-25","parallel",144.797299356476,124.29132059782,168.686419937329
4,"2024-25","parallel",146.283848731683,125.246455291849,170.854850541599
4.5,"2024-25","parallel",147.719487283201,126.109984604425,173.031873659004
5,"2024-25","parallel",149.111906728673,126.884435150418,175.233161592296
5.5,"2024-25","parallel",150.46699999997,127.571383922234,177.471760459949
6,"2024-25","parallel",151.788489956404,128.169436049113,179.760061317712
6.5,"2024-25","parallel",153.077588417618,128.672424326532,182.111654446553
7,"2024-25","parallel",154.333185917937,129.069968952841,184.541241226169
7.5,"2024-25","parallel",155.552390336325,129.350119601508,187.062417985289
8,"2024-25","parallel",156.731403856086,129.502843527067,189.68489251408
8.5,"2024-25","parallel",157.866483545245,129.522119067445,192.413672709938
9,"2024-25","parallel",158.954920970405,129.405177036264,195.252365317865
9.5,"2024-25","parallel",159.995497247158,129.150871573698,198.206630953768
10,"2024-25","parallel",160.98813934357,128.7585952152,201.285055696578
-25,"2025-26","parallel",10.2167801985084,6.67923581226575,15.6279251936196
-24.5,"2025-26","parallel",10.6229126955359,7.07709601666398,15.9452795145446
-24,"2025-26","parallel",11.0451895748381,7.49726870812087,16.2720875419562
-23.5,"2025-26","parallel",11.4842526000782,7.94069535026875,16.6091320677527
-23,"2025-26","parallel",11.9407690459977,8.40827358818867,16.9573413512788
-22.5,"2025-26","parallel",12.4154327125203,8.9008270441487,17.3178254868407
-22,"2025-26","parallel",12.9089649791681,9.41906520028827,17.6919230613552
-21.5,"2025-26","parallel",13.4221159013926,9.96353048558593,18.0812610079369
-21,"2025-26","parallel",13.9556653504862,10.5345291200985,18.4878311269919
-20.5,"2025-26","parallel",14.5104241988071,11.132041917814,18.9140870995455
-20,"2025-26","parallel",15.0872312957789,11.7555982074526,19.3630765661951
-19.5,"2025-26","parallel",15.6868623619249,12.4039030067356,19.8387274254202
-19,"2025-26","parallel",16.3099308578898,13.0747318038036,20.3456444522831
-18.5,"2025-26","parallel",16.9569172581453,13.7654818894936,20.8882656784466
-18,"2025-26","parallel",17.6282115584299,14.4737594269219,21.4701539235718
-17.5,"2025-26","parallel",18.3241426053113,15.1977534129379,22.093673525058
-17,"2025-26","parallel",19.0450069497903,15.9364278962577,22.7599492231716
-16.5,"2025-26","parallel",19.7910679038527,16.6895796503422,23.4689175510107
-16,"2025-26","parallel",20.5625504262455,17.4577071175349,24.2195883563197
-15.5,"2025-26","parallel",21.3596777071565,18.2414826690388,25.0108963197365
-15,"2025-26","parallel",22.1827001779515,19.041152214368,25.8425636035608
-14.5,"2025-26","parallel",23.0319067497589,19.8562222498504,26.7154910866082
-14,"2025-26","parallel",23.9075914837238,20.6858785728744,27.6310686316283
-13.5,"2025-26","parallel",24.8099946427977,21.5297007568272,28.5900784747536
