"min_temp","winter_season"
3.6,"2023-24"
-5.2,"2023-24"
-5.9,"2023-24"
-1.8,"2023-24"
5.4,"2023-24"
5.4,"2023-24"
5.2,"2023-24"
7.8,"2023-24"
4.4,"2023-24"
2.8,"2023-24"
3.9,"2023-24"
4.4,"2023-24"
-1.1,"2023-24"
-0.5,"2023-24"
2.8,"2023-24"
6.1,"2023-24"
6,"2023-24"
1.5,"2023-24"
1.6,"2023-24"
-0.8,"2023-24"
-1,"2023-24"
-0.7,"2023-24"
-4.9,"2023-24"
-5.6,"2023-24"
-5,"2023-24"
-6.3,"2023-24"
-4.9,"2023-24"
0.6,"2023-24"
6.2,"2023-24"
2.9,"2023-24"
1.8,"2023-24"
0.2,"2023-24"
-0.8,"2023-24"
2.2,"2023-24"
3.2,"2023-24"
5.2,"2023-24"
1.9,"2023-24"
1.3,"2023-24"
1.3,"2023-24"
4.3,"2023-24"
6.1,"2023-24"
6.8,"2023-24"
5.9,"2023-24"
10.7,"2023-24"
8.1,"2023-24"
4.9,"2023-24"
4.5,"2023-24"
7.2,"2023-24"
6.9,"2023-24"
6.3,"2024-25"
4.2,"2024-25"
3.9,"2024-25"
6.7,"2024-25"
6.7,"2024-25"
4.7,"2024-25"
3.6,"2024-25"
4.1,"2024-25"
3.6,"2024-25"
2,"2024-25"
1.3,"2024-25"
2.9,"2024-25"
0.8,"2024-25"
0.9,"2024-25"
-1.4,"2024-25"
-2.9,"2024-25"
-2.7,"2024-25"
-3,"2024-25"
-2.3,"2024-25"
-0.4,"2024-25"
-5.4,"2024-25"
-6.6,"2024-25"
-1.8,"2024-25"
3.3,"2024-25"
0.5,"2024-25"
5.3,"2024-25"
-0.8,"2024-25"
-7.3,"2024-25"
-7.5,"2024-25"
-6.1,"2024-25"
-0.7,"2024-25"
4.5,"2024-25"
3.8,"2024-25"
0.3,"2024-25"
-2.7,"2024-25"
-6.9,"2024-25"
-15.9,"2024-25"
-16.2,"2024-25"
-4.5,"2024-25"
-1.6,"2024-25"
-1.7,"2024-25"
-0.8,"2024-25"
0.9,"2024-25"
2.7,"2024-25"
4.6,"2024-25"
2.8,"2024-25"
0.9,"2024-25"
1.1,"2024-25"
-2.2,"2024-25"
-4.9,"2024-25"
-5.8,"2024-25"
-5.1,"2024-25"
-8.6,"2024-25"
-7.8,"2024-25"
-11.8,"2024-25"
-11,"2024-25"
-9.1,"2024-25"
-4.3,"2024-25"
-1.1,"2024-25"
-6.7,"2024-25"
-7.3,"2024-25"
-8,"2024-25"
-4.8,"2024-25"
-1.1,"2024-25"
-6.6,"2024-25"
-10.9,"2024-25"
-13.2,"2024-25"
-15.6,"2024-25"
-15.9,"2024-25"
-7.3,"2024-25"
-8.3,"2024-25"
-7.1,"2024-25"
-4.4,"2024-25"
-4.2,"2024-25"
-10.2,"2024-25"
-8.6,"2024-25"
-8.3,"2024-25"
-10.9,"2024-25"
-12,"2024-25"
-7.5,"2024-25"
-2.8,"2024-25"
-8,"2024-25"
-7.7,"2024-25"
-3.6,"2024-25"
-6.7,"2024-25"
-6.3,"2024-25"
-4.8,"2024-25"
-7.7,"2024-25"
-7.9,"2024-25"
-8.2,"2024-25"
-5.5,"2024-25"
-6.7,"2024-25"
-4.5,"2024-25"
-8.7,"2024-25"
-12.2,"2024-25"
-12.5,"2024-25"
-10.3,"2024-25"
-10.2,"2024-25"
-11.6,"2024-25"
-6.3,"2024-25"
-2.2,"2024-25"
0.5,"2024-25"
2.4,"2024-25"
1.1,"2024-25"
-0.9,"2024-25"
-3,"2024-25"
-13.6,"2024-25"
-14.9,"2024-25"
-5.9,"2024-25"
2,"2024-25"
2.9,"2024-25"
-2.6,"2024-25"
-2.6,"2024-25"
-4.9,"2024-25"
-1.2,"2024-25"
3,"2024-25"
-1.4,"2024-25"
-1.9,"2024-25"
-1.7,"2024-25"
1.8,"2024-25"
8.3,"2024-25"
1.2,"2024-25"
-1.5,"2024-25"
1.2,"2024-25"
6.3,"2024-25"
-0.7,"2024-25"
-0.8,"2024-25"
-4.6,"2024-25"
-5.1,"2024-25"
1.6,"2024-25"
-0.4,"2024-25"
-2.2,"2024-25"
-2.8,"2024-25"
1.1,"2024-25"
0.1,"2024-25"
0.7,"2024-25"
1.3,"2024-25"
-0.5,"2024-25"
-1.1,"2024-25"
4.6,"2024-25"
3.4,"2024-25"
3.5,"2024-25"
1.8,"2024-25"
-3.9,"2024-25"
-5.3,"2024-25"
-3.7,"2024-25"
1.5,"2024-25"
1.9,"2024-25"
3.9,"2024-25"
4.4,"2024-25"
7.6,"2024-25"
2.4,"2024-25"
3.4,"2025-26"
0,"2025-26"
0.6,"2025-26"
1.2,"2025-26"
0.7,"2025-26"
1.8,"2025-26"
5.2,"2025-26"
